Month and year,England,Scotland,Wales,Northern Ireland,UK,UK (seasonally adjusted)
April 2005,"88,840","10,540","4,520","3,290","107,190","109,680"
May 2005,"91,030","10,180","4,540","3,260","109,010","110,270"
June 2005,"103,700","12,120","5,050","3,790","124,660","112,460"
July 2005,"107,770","12,530","5,160","3,710","129,170","113,610"
August 2005,"107,040","12,000","5,200","3,910","128,150","115,470"
September 2005,"107,710","12,510","5,370","3,970","129,560","117,590"
October 2005,"100,650","11,410","5,090","3,710","120,860","120,990"
November 2005,"103,570","11,690","5,290","3,990","124,540","119,270"
December 2005,"115,150","11,430","5,750","3,970","136,300","126,640"
January 2006,"83,980","8,500","3,970","3,290","99,740","132,100"
February 2006,"87,550","7,150","4,310","3,220","102,230","133,940"
March 2006,"112,090","11,180","5,630","3,810","132,710","132,080"
April 2006,"101,830","10,690","5,080","3,670","121,270","135,880"
May 2006,"113,160","11,990","5,680","4,200","135,030","133,370"
June 2006,"135,030","15,670","6,970","5,300","162,970","136,400"
July 2006,"125,720","12,790","6,090","3,890","148,490","140,770"
August 2006,"132,180","13,430","6,440","4,510","156,560","142,280"
September 2006,"126,890","13,930","6,560","4,720","152,100","142,030"
October 2006,"124,980","13,030","6,660","4,600","149,270","143,440"
November 2006,"127,530","13,120","6,580","4,540","151,770","146,670"
December 2006,"133,770","12,920","7,040","4,580","158,310","149,510"
January 2007,"97,580","9,170","4,720","3,410","114,880","148,580"
February 2007,"96,560","7,580","4,530","3,610","112,280","147,120"
March 2007,"117,970","11,920","5,940","3,950","139,780","144,110"
April 2007,"105,780","11,700","5,280","3,690","126,450","136,980"
May 2007,"117,560","12,750","5,830","3,970","140,110","139,920"
June 2007,"134,370","16,360","6,880","4,070","161,680","139,530"
July 2007,"128,660","13,290","6,390","3,050","151,390","137,980"
August 2007,"136,790","15,480","6,850","3,210","162,330","137,040"
September 2007,"109,250","12,270","5,270","2,420","129,210","133,260"
October 2007,"113,080","12,700","5,660","2,260","133,700","124,980"
November 2007,"112,770","13,810","5,790","1,950","134,320","119,940"
December 2007,"91,140","10,180","4,940","1,420","107,680","109,440"
January 2008,"67,220","7,800","3,110","1,220","79,350","103,660"
February 2008,"71,820","7,920","3,430","1,370","84,540","99,300"
March 2008,"68,100","9,080","3,620","1,250","82,050","91,920"
April 2008,"73,130","9,910","3,810","1,500","88,350","94,610"
May 2008,"74,470","10,620","4,000","1,480","90,570","87,440"
June 2008,"69,150","9,580","3,750","1,300","83,780","77,280"
July 2008,"62,400","8,020","3,130","1,010","74,560","66,860"
August 2008,"57,810","7,830","2,900","1,020","69,560","61,820"
September 2008,"51,080","6,650","2,670",930,"61,330","59,130"
October 2008,"59,710","8,000","3,290","1,020","72,020","62,890"
November 2008,"45,780","5,650","2,460","1,020","54,910","55,610"
December 2008,"50,260","5,300","2,680",940,"59,180","56,400"
January 2009,"34,750","3,920","1,670",720,"41,060","51,660"
February 2009,"36,580","3,560","1,850",760,"42,750","55,930"
March 2009,"49,130","4,950","2,820","1,090","57,990","63,250"
April 2009,"48,840","5,220","2,580","1,050","57,690","62,120"
May 2009,"54,720","5,870","2,900","1,150","64,640","63,760"
June 2009,"63,710","6,440","3,220","1,390","74,760","67,390"
July 2009,"73,760","7,110","3,700","1,520","86,090","71,810"
August 2009,"68,080","6,370","3,130","1,240","78,820","75,400"
September 2009,"68,260","6,630","3,270","1,320","79,480","76,470"
October 2009,"76,320","7,380","3,710","1,430","88,840","80,170"
November 2009,"71,150","6,950","3,430","1,380","82,910","80,640"
December 2009,"89,920","7,440","4,210","1,750","103,320","98,940"
January 2010,"43,110","4,370","1,920",830,"50,230","64,150"
February 2010,"50,920","4,010","2,460",980,"58,370","76,080"
March 2010,"61,810","5,720","3,050","1,250","71,830","76,000"
April 2010,"60,830","6,380","3,130","1,320","71,660","75,280"
May 2010,"60,500","5,870","3,090","1,100","70,560","76,970"
June 2010,"72,370","7,230","3,610","1,370","84,580","77,690"
July 2010,"76,590","7,550","3,630","1,420","89,190","77,540"
August 2010,"70,320","6,540","3,270","1,290","81,420","74,620"
September 2010,"66,440","6,540","3,050","1,220","77,250","74,770"
October 2010,"67,380","7,020","3,450","1,340","79,190","72,860"
November 2010,"65,080","6,290","3,340","1,180","75,890","70,470"
December 2010,"65,650","5,600","3,260","1,090","75,600","67,530"
January 2011,"44,970","3,980","2,120",830,"51,900","69,040"
February 2011,"47,830","3,770","2,370",910,"54,880","68,670"
March 2011,"57,200","5,370","2,910","1,120","66,600","70,710"
April 2011,"58,700","5,790","2,850","1,170","68,510","73,710"
May 2011,"56,820","5,700","2,830",990,"66,340","69,970"
June 2011,"67,500","6,640","3,430","1,210","78,780","73,040"
July 2011,"71,550","7,000","3,450","1,180","83,180","74,620"
August 2011,"73,720","6,610","3,600","1,250","85,180","76,190"
September 2011,"73,310","7,210","3,560","1,450","85,530","76,780"
October 2011,"67,030","6,170","3,370","1,270","77,840","76,410"
November 2011,"69,730","6,390","3,620","1,370","81,110","76,260"
December 2011,"73,780","6,110","3,760","1,290","84,940","77,190"
January 2012,"52,630","4,540","2,350","1,010","60,530","77,830"
February 2012,"54,440","4,100","2,570","1,190","62,300","75,700"
March 2012,"74,960","6,830","3,600","1,330","86,720","88,130"
April 2012,"53,590","5,610","2,860",980,"63,040","72,570"
May 2012,"64,960","6,110","3,100","1,180","75,350","78,250"
June 2012,"72,590","7,600","3,700","1,420","85,310","75,040"
July 2012,"71,240","6,140","3,280","1,220","81,880","75,980"
August 2012,"77,690","7,460","3,750","1,540","90,440","76,570"
September 2012,"64,200","5,830","3,070","1,290","74,390","75,960"
October 2012,"71,490","6,450","3,620","1,500","83,060","76,910"
November 2012,"76,910","7,090","3,870","1,580","89,450","78,670"
December 2012,"69,100","6,070","3,510","1,330","80,010","79,710"
January 2013,"53,990","4,610","2,340","1,120","62,060","78,460"
February 2013,"56,120","4,380","2,680","1,180","64,360","79,710"
March 2013,"67,740","6,390","3,430","1,440","79,000","81,430"
April 2013,"61,780","6,270","2,960","1,170","72,180","80,850"
May 2013,"78,170","7,780","3,790","1,530","91,270","89,330"
June 2013,"77,850","7,800","4,050","1,570","91,270","88,990"
July 2013,"85,310","7,650","4,100","1,650","98,710","89,790"
August 2013,"90,850","8,700","4,260","1,820","105,630","91,120"
September 2013,"80,640","7,520","3,860","1,660","93,680","93,090"
October 2013,"87,730","8,110","4,280","1,800","101,920","94,940"
November 2013,"94,020","9,000","4,620","2,030","109,670","98,930"
December 2013,"91,030","7,310","4,480","1,880","104,700","100,370"
January 2014,"75,750","6,500","3,350","1,680","87,280","103,800"
February 2014,"75,100","5,680","3,470","1,690","85,940","105,530"
March 2014,"79,280","6,830","3,770","1,690","91,570","101,800"
April 2014,"81,140","7,590","3,890","1,720","94,340","105,390"
May 2014,"87,930","8,830","4,350","2,000","103,110","103,140"
June 2014,"92,950","8,970","4,490","2,050","108,460","102,790"
July 2014,"95,430","8,160","4,700","1,990","110,280","101,350"
August 2014,"98,450","9,500","4,640","2,130","114,720","102,080"
September 2014,"91,170","7,870","4,170","1,960","105,170","100,840"
October 2014,"98,630","9,270","4,750","2,340","114,990","100,610"
November 2014,"84,150","8,640","4,170","2,050","99,010","98,780"
December 2014,"90,650","6,590","4,560","2,080","103,880","96,930"
January 2015,"66,750","6,270","3,160","1,570","77,750","94,010"
February 2015,"68,390","5,260","3,200","1,690","78,540","95,630"
March 2015,"78,240","7,700","3,800","1,750","91,490","98,050"
April 2015,"73,690","8,060","3,610","1,610","86,970","98,020"
May 2015,"83,310","8,600","4,010","1,880","97,800","101,050"
June 2015,"98,200","9,610","4,720","2,240","114,770","104,970"
July 2015,"103,160","10,240","4,980","2,230","120,610","104,650"
August 2015,"94,260","8,760","4,440","2,020","109,480","104,050"
September 2015,"93,940","8,710","4,370","2,140","109,160","106,250"
October 2015,"102,540","9,880","5,120","2,410","119,950","106,710"
November 2015,"93,490","9,000","4,700","2,180","109,370","105,690"
December 2015,"98,400","8,230","4,900","2,160","113,690","106,940"
January 2016,"72,750","6,430","3,260","1,590","84,030","104,280"
February 2016,"80,110","5,670","3,810","1,720","91,310","106,250"
March 2016,"149,710","11,330","7,020","3,310","171,370","176,820"
April 2016,"62,150","6,760","3,200","1,450","73,560","79,920"
May 2016,"70,480","7,260","3,600","1,660","83,000","88,620"
June 2016,"86,840","8,860","4,310","2,080","102,090","95,790"
July 2016,"90,220","9,300","4,540","1,980","106,040","97,010"
August 2016,"92,660","8,640","4,700","2,110","108,110","97,210"
September 2016,"89,130","9,490","4,560","2,220","105,400","95,880"
October 2016,"83,270","8,440","4,400","1,960","98,070","95,650"
November 2016,"86,930","8,710","4,610","2,190","102,440","96,150"
December 2016,"93,570","8,560","5,140","2,330","109,600","98,930"
January 2017,"69,120","6,400","3,470","1,720","80,710","102,730"
February 2017,"72,400","5,860","3,660","1,750","83,670","100,700"
March 2017,"88,860","9,320","5,320","2,140","105,640","103,750"
April 2017,"74,100","8,050","4,010","1,810","87,970","104,530"
May 2017,"81,330","8,570","4,480","2,110","96,490","100,770"
June 2017,"99,060","11,020","5,320","2,690","118,090","103,110"
July 2017,"89,920","8,970","4,690","2,030","105,610","103,650"
August 2017,"95,640","9,560","5,160","2,460","112,820","102,250"
September 2017,"91,050","9,770","5,000","2,530","108,350","100,900"
October 2017,"91,050","9,020","5,010","2,480","107,560","101,130"
November 2017,"90,480","8,800","5,070","2,470","106,820","100,850"
December 2017,"90,290","8,350","5,230","2,460","106,330","99,090"
January 2018,"68,880","6,130","3,660","1,700","80,370","99,290"
February 2018,"70,580","5,450","3,730","1,970","81,730","97,840"
March 2018,"82,470","6,790","4,390","2,220","95,870","94,120"
April 2018,"71,040","7,570","3,900","1,930","84,440","99,090"
May 2018,"80,420","8,310","4,360","2,250","95,340","100,390"
June 2018,"93,420","10,730","4,990","2,700","111,840","100,580"
July 2018,"87,560","8,980","4,860","2,290","103,690","98,870"
August 2018,"98,710","10,600","5,460","2,830","117,600","100,420"
September 2018,"81,560","8,740","4,540","2,220","97,060","99,720"
October 2018,"92,150","9,260","5,050","2,560","109,020","99,740"
November 2018,"97,010","10,170","5,790","2,820","115,790","100,780"
December 2018,"83,880","7,630","4,930","2,320","98,760","98,600"
January 2019,"66,680","6,830","3,590","1,730","78,830","97,520"
February 2019,"70,140","5,500","3,870","2,070","81,580","97,220"
March 2019,"80,490","8,520","4,420","2,240","95,670","97,780"
April 2019,"73,790","8,030","4,020","2,020","87,860","98,300"
May 2019,"80,220","9,810","4,570","2,450","97,050","96,100"
June 2019,"83,860","9,520","4,670","2,290","100,340","100,400"
July 2019,"88,560","9,030","5,020","2,170","104,780","98,070"
August 2019,"93,360","10,280","5,280","2,690","111,610","97,220"
September 2019,"83,570","8,940","4,650","2,410","99,570","98,850"
October 2019,"90,010","9,480","5,060","2,550","107,100","98,150"
November 2019,"92,080","10,200","5,230","2,700","110,210","97,880"
December 2019,"87,040","8,200","4,900","2,130","102,270","99,200"
January 2020,"71,030","7,050","3,850","1,910","83,840","97,200"
February 2020,"70,960","5,920","3,940","2,010","82,830","97,830"
March 2020,"74,490","6,320","4,120","1,990","86,920","91,110"
April 2020,"32,440","2,740","1,760",410,"37,350","43,000"
May 2020,"40,290","3,380","1,950",540,"46,160","48,280"
June 2020,"59,480","4,090","2,580","1,280","67,430","63,210"
July 2020,"70,600","5,300","3,040","1,720","80,660","71,720"
August 2020,"73,260","6,860","3,240","1,690","85,050","81,590"
September 2020,"82,430","10,650","3,710","2,280","99,070","95,280"
October 2020,"100,390","12,960","5,310","3,080","121,740","106,230"
November 2020,"100,440","12,500","5,310","2,930","121,180","115,210"
December 2020,"112,480","11,150","6,200","3,070","132,900","127,400"
January 2021,"83,790","7,820","3,910","2,290","97,810","118,940"
February 2021,"106,620","7,270","4,790","2,580","121,260","143,460"
March 2021,"151,850","12,270","6,450","3,510","174,080","177,300"
April 2021,"98,940","7,160","5,130","2,570","113,800","122,080"
May 2021,"87,040","8,680","4,710","2,550","102,980","114,800"
June 2021,"191,300","11,230","8,110","3,900","214,540","204,370"
July 2021,"65,460","10,960","4,590","2,510","83,520","75,540"
August 2021,"86,550","9,990","5,000","2,780","104,320","96,590"
September 2021,"146,610","9,610","5,540","3,970","165,730","160,380"
October 2021,"67,790","10,480","5,310","2,310","85,890","76,810"
November 2021,"84,120","9,700","5,430","2,640","101,890","93,070"
December 2021,"93,370","9,020","5,260","2,570","110,220","99,810"
January 2022,"70,460","7,350","3,830","1,980","83,620","108,690"
February 2022,"80,790","6,600","4,450","2,250","94,090","111,760"
March 2022,"94,080","8,300","4,940","2,440","109,760","112,260"
April 2022,"83,920","8,790","4,440","2,360","99,510","109,500"
May 2022,"84,320","8,610","4,530","2,320","99,780","107,510"
June 2022,"88,330","8,750","4,300","2,460","103,840","99,910"
July 2022,"93,100","9,750","4,900","2,280","110,030","102,630"
August 2022,"95,830","9,680","4,950","2,500","112,960","101,890"
September 2022,"96,900","10,230","4,870","2,740","114,740","102,390"
October 2022,"93,090","9,350","5,080","2,490","110,010","104,980"
November 2022,"95,720","9,220","5,020","2,440","112,400","104,010"
December 2022,"92,450","8,030","4,740","2,270","107,490","99,660"
January 2023,"65,010","5,960","3,200","1,530","75,700","95,230"
February 2023,"64,800","5,500","3,280","1,720","75,300","89,850"
March 2023,"80,550","8,270","4,200","2,150","95,170","91,370"
April 2023,"56,150","7,140","3,020","1,560","67,870","82,640"
May 2023,"61,190","7,740","3,280","1,820","74,030","77,670"
June 2023,"79,000","9,530","4,140","2,240","94,910","84,390"
July 2023,"71,630","8,350","3,700","1,820","85,500","84,880"
August 2023,"79,720","8,510","4,100","2,270","94,600","85,620"
September 2023,"77,870","8,650","4,130","2,310","92,960","84,850"
October 2023,"76,180","7,920","4,040","2,080","90,220","83,120"
November 2023,"73,950","8,110","3,810","2,070","87,940","82,150"
December 2023,"71,860","7,410","3,900","2,040","85,210","81,850"
January 2024,"56,850","6,220","2,790","1,540","67,400","83,200"
February 2024,"62,270","5,650","3,240","1,660","72,820","84,710"
March 2024,"73,360","7,900","3,840","2,060","87,160","86,570"
April 2024,"64,730","7,890","3,310","1,680","77,610","89,450"
May 2024,"77,380","9,240","3,910","2,170","92,700","91,840"
June 2024 [provisional],"75,860","8,760","3,990","2,020","90,630","91,250"
July 2024 [provisional],"81,730","8,940","4,280","1,990","96,940","90,610"
August 2024 [provisional estimates],"87,430","9,860","4,520","2,520","104,330","90,210"
End of worksheet,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
